Website,name,CEO,Country,market cap,Sales,Headquarters,Founded,url,Employees,by date,Industry,description
http://www.icbc.com.cn,ICBC,Jian Jiang,China,$229.8 Billion,$151.38 B,Beijing,1984,https://www.forbes.com/companies/icbc/,"461,749",As of May 2017,Major Banks,"
				Industrial & Commercial Bank of China Ltd. engages in the provision of commercial banking and financial services. It operates through the following business segments: Corporate Banking, Personal Banking, Treasury Operations, and Others. The Corporate Banking segment offers corporate loans, trade financing, deposit-taking and custody activities, corporate wealth management, and corporate intermediary services. The Personal Banking segment provides personal loans, deposit-taking activities, card business, personal wealth management, and personal intermediary services. The Treasury Operations segment involves money market transactions, investment securities, foreign exchange transactions, and the holding of derivative positions. The Others segment represents the leasing services, as well as the assets, liabilities, income, and expenses that are not directly related or cannot be allocated to a segment. The company was founded on January 1, 1984 and is headquartered in Beijing, China."
http://www.ccb.com,China Construction Bank,You Guo,China,$200.5 Billion,$134.24 B,Beijing,1954,https://www.forbes.com/companies/china-construction-bank/,"362,482",As of May 2017,Major Banks,"
				China Construction Bank Corp. engages in the provision of financial and banking services. It operates through the following segments: Corporate Banking, Personal Banking, Treasury Business, and Others. The Corporate Banking segment includes credit businesses, institutional business services, fund settlement and custody, and corporate e-banking. The Personal Banking segment provides loans, credit card services, foreign exchange, gold business, deposit services, and personal wealth management products. The Treasury Business segment engages in money market transactions, debt securities, and currency trading. The Others segment includes equity investments and profits of subsidiaries and branches overseas. The company was founded in October 1954 and is headquartered in Beijing, China."
http://www.berkshirehathaway.com,Berkshire Hathaway,,United States,$409.9 Billion,$222.94 B,"Omaha, Nebraska",1955,https://www.forbes.com/companies/berkshire-hathaway/,"367,700",As of May 2017,Investment Services,"
				Berkshire Hathaway, Inc. engages in the provision of property and casualty insurance and reinsurance, utilities and energy, freight rail transportation, finance, manufacturing, retailing, and services. It operates through following segments: GEICO, General Re, Berkshire Hathaway Reinsurance Group, Berkshire Hathaway Primary Group, Burlington Northern Santa Fe, LLC, Berkshire Hathaway Energy, McLane Company, Manufacturing, Service and Retailing, and Finance and Financial products. The GEICO segments involves in underwriting private passenger automobile insurance mainly by direct response methods. The General Re offers underwriting excess-of-loss, quota-share, and facultative reinsurance. The Berkshire Hathaway Reinsurance Group segment consists of underwriting excess-of-loss and quota-share reinsurance for insurers and reinsurers. The Berkshire Hathaway Primary Group segment comprises of underwriting multiple lines of property and casualty insurance policies. The BNSF segment operates railroad systems in North America. The Berkshire Hathaway Energy segments deals with regulated electric and gas utility, including power generation and distribution activities, and domestic real estate brokerage and brokerage franchisor. The McLane Company segment offers wholesale distribution of groceries and non-food items. The Manufacturing segment includes industrial and end-user products, building products, and apparel. The Service and Retailing segment involves providing fractional aircraft ownership programs, aviation pilot training, electronic components distribution, and retailing. The Finance and Financial Products segment includes manufactured housing and consumer financing; transportation equipment, manufacturing and leasing; and furniture leasing. The company was founded by Oliver Chace in 1839 and is headquartered in Omaha, NE."
http://www.jpmorganchase.com,JPMorgan Chase,,United States,$306.6 Billion,$102.49 B,"New York, New York",1968,https://www.forbes.com/companies/jpmorgan-chase/,"243,355",As of May 2017,Major Banks,"
				JPMorgan Chase & Co. is a financial holding company, which provides financial and investment banking services. It offers a range of investment banking products and services in all major capital markets, including advising on corporate strategy and structure; capital-raising in equity and debt markets; sophisticated risk management; market-making in cash securities and derivative instruments; and prime brokerage and research. It also offers investment banking, financial services for consumers, small business and commercial banking, financial transaction processing, asset management and private equity. The company operates its business through the following segments: Consumer and Community Banking; Corporate and Investment Bank; Commercial Banking; and Asset Management. The Consumer and Community Banking segment serves consumers and businesses through personal service at bank branches and through automated teller machine, online, mobile, and telephone banking. It is organized into Consumer and Business Banking, Mortgage Banking and Card, Merchant Services and Auto ('Card'). Consumer and Business banking offers deposit and investment products and services to consumers, and lending, deposit, and cash management and payment solutions to small businesses. Mortgage Banking includes mortgage origination and servicing activities, as well as portfolios comprised of residential mortgages and home equity loans, including the purchased credit impaired portfolio acquired in the Washington Mutual transaction. Card issues credit cards to consumers and small businesses, provides payment services to corporate and public sector clients through its commercial card products, offers payment processing services to merchants, and provides auto and student loan services. The Corporate and Investment Bank segment offers a broad suite of investment banking, market-making, prime brokerage, and treasury and securities products and services to a global client base of corporations, investors, financial institutions, government and municipal entities. This segment offers a full range of investment banking products and services in all major capital markets, including advising on corporate strategy and structure, capital-raising in equity and debt markets, as well as loan origination and syndication. The Commercial Banking segment delivers extensive industry knowledge, local expertise and dedicated service to United States (U.S.) and U.S. multinational clients, including corporations, municipalities, financial institutions, and non-profit entities. This segment provides financing to real estate investors and owners as well a s comprehensive financial solutions, including lending, treasury services, investment banking, and asset management to meet its client's domestic and international financial needs. The Asset Management segment provides investment and wealth management services. This segment offers investment management across all major asset services, including equities, fixed income, alternatives, and money market funds. The company was founded in 1968 and is headquartered in New York, NY."
http://www.wellsfargo.com,Wells Fargo,,United States,$274.4 Billion,$97.57 B,"San Francisco, California",1852,https://www.forbes.com/companies/wells-fargo/,"269,100",As of May 2017,Major Banks,"
				Wells Fargo & Co. is a bank holding company that engages in the provision of banking, insurance, investments, mortgage, and consumer and commercial finance. It operates through the following segments: Community Banking, Wholesale Banking, and Wealth and Investment Management. The Community Banking segment offers investment management and other services to retail customers and securities brokerage and provides financial products and services to consumers and small businesses. The Wholesale Banking segment involves financial solutions to businesses and offers commercial, corporate, capital markets, cash management and real estate banking products and services. The Wealth and Investment Management segment provides a range of financial advisory services to clients using a planning approach to meet each client's needs. The company was founded by Henry Wells and William G. Fargo on March 18, 1852 and is headquartered in San Francisco, CA."
http://www.abchina.com,Agricultural Bank of China,Ying Che,China,$149.2 Billion,$115.7 B,Beijing,1951,https://www.forbes.com/companies/agricultural-bank-of-china/,"496,698",As of May 2017,Regional Banks,"
				Agricultural Bank of China engages in the provision of international commercial banking and financial services. The company operates its business through the following segments: Corporate Banking, Personal Banking, Treasury Operations and Others & Unallocated. The Corporate Banking segment provides financial products and services to corporations, government agencies and financial institutions. Its products and services include corporate loans and advances, trade finance, deposit products and other types of corporate intermediary services. The Personal Banking segment provides financial products and services to individual customers. Its products and services includes personal loans, deposit products, card business, personal wealth management services and other types of personal intermediary services. The Treasury Operations segment conducts money market or repurchases transactions, debt instrument investments, and holding of derivative positions. The Others & Unallocated segment deals with primarily equity investments. Agricultural Bank of China was founded on July 10, 1951 and is headquartered in Beijing, China."
http://www.bankofamerica.com,Bank of America,,United States,$231.9 Billion,$92.21 B,"Charlotte, North Carolina",1904,https://www.forbes.com/companies/bank-of-america/,"208,000",As of May 2017,Major Banks,"
				Bank of America Corp. is a bank and financial holding company, which engages in the provision of banking and nonbank financial services. It operates through the following segments: Consumer Banking, Global Wealth and Investment Management, Global Banking, Global Markets, and Legacy Assets and Servicing. The Consumer Banking segment offers credit, banking, and investment products and services to consumers and small businesses. The Global Wealth and Investment Management provides client experience through a network of financial advisors focused on to meet their needs through a full set of investment management, brokerage, banking, and retirement products. The Global Banking segment deals with lending-related products and services, integrated working capital management and treasury solutions to clients, and underwriting and advisory services. The Global Markets segment includes sales and trading services, as well as research, to institutional clients across fixed-income, credit, currency, commodity, and equity businesses. The Legacy Assets and Servicing segment concerns mortgage servicing activities related to residential first mortgage and home equity loans serviced for others and loans held by the corporation. The company was founded by Amadeo Peter Giannini in 1904 is headquartered in Charlotte, NC."
http://www.boc.cn,Bank of China,,China,$141.3 Billion,$113.11 B,Beijing,1912,https://www.forbes.com/companies/bank-of-china/,"308,900",As of May 2017,Major Banks,"
				Bank of China Ltd. engages in the provision of banking and related financial services such as commercial and investment banking, and insurance and investment services. The company operates its business through the following segments: Corporate Banking, Personal Banking, Treasury Operations, Investment Banking, Insurance, and Others. The Corporate Banking segment offers services to corporate customers, government authorities, and financial institutions such as current accounts, deposits, overdrafts, loans, custody, trade related products and other credit facilities, foreign currency, and derivative products. The Personal Banking segment provides services to retail customers such as current accounts, savings, deposits, investment savings products, credit and debit cards, consumer loans, and mortgages. The Treasury Operations segment deals in foreign exchange transactions, customer-based interest rate and foreign exchange derivative transactions, money market transactions, proprietary trading, and asset and liability management. The Investment Banking segment includes debt and equity underwriting and financial advisory, sales and trading of securities, stock brokerage, investment research and asset management services, and private equity investment services. The Insurance segment specializes in the underwriting of general and life insurance business and insurance agency services. The Others segment comprises investment holding and other miscellaneous activities. Bank of China was founded on February 05, 1912 and is headquartered in Beijing, China."
http://www.apple.com,Apple,,United States,$752 Billion,$217.48 B,"Cupertino, California",1976,https://www.forbes.com/companies/apple/,"116,000",As of May 2017,Computer Hardware,"
				Apple, Inc. engages in the design, manufacture, and marketing of mobile communication, media devices, personal computers, and portable digital music players. It operates through the following geographical segments: Americas, Europe, Greater China, Japan, and Rest of Asia Pacific. The Americas segment includes both North and South America. The Europe segment consists of European countries, as well as India, the Middle East, and Africa. The Greater China segment comprises of China, Hong Kong, and Taiwan. The Rest of Asia Pacific segment includes Australia and Asian countries not included in the reportable operating segments of the company. The company was founded by Steven Paul Jobs, Ronald Gerald Wayne, and Stephen G. Wozniak on April 1, 1976 and is headquartered in Cupertino, CA."
http://www.jnj.com,Johnson & Johnson,,United States,$338.6 Billion,$71.94 B,"New Brunswick, New Jersey",1886,https://www.forbes.com/companies/johnson-johnson/,"126,400",As of May 2017,Medical Equipment & Supplies,"
				Johnson & Johnson is an investment holding company with interests in health care products. It engages in research and development, manufacture and sale of personal care hygienic products, pharmaceuticals and surgical equipment. The company operates through the following business segments: Consumer, Pharmaceutical and Medical Devices. The Consumer segment includes products used in the baby care, skin care, oral care, wound care and women's health care fields, as well as nutritional and over-the-counter pharmaceutical products, and wellness and prevention platforms. The baby care franchise includes the JOHNSON'S Baby line of products. The Pharmaceutical segment includes products in the anti-infective, antipsychotic, contraceptive, gastrointestinal, hematology, immunology, infectious diseases, neurology, oncology, pain management, thrombosis and vaccines. The Medical Devices segment includes products distributed to wholesalers, hospitals and retailers, used principally in the professional fields by physicians, nurses, hospitals, and clinics. These include products to treat cardiovascular disease; orthopaedic and neurological products; blood glucose monitoring and insulin delivery products; general surgery, biosurgical, and energy products; professional diagnostic products; infection prevention products; and disposable contact lenses. Johnson & Johnson was founded by Robert Wood Johnson I, James Wood Johnson and Edward Mead Johnson Sr. in 1886 and is headquartered in New Brunswick, NJ."
http://www.thecloroxcompany.com,Clorox,,United States,$17.1 Billion,$5.88 B,"Oakland, California",1913,https://www.forbes.com/companies/clorox/,"8,000",As of May 2017,Household/Personal Care,"
				The Clorox Co. manufactures and markets consumer and institutional products. It operates through the following business segments: Cleaning, Lifestyle, Household, and International. The Cleaning segment consists of laundry, home care and professional products marketed and sold in the United States. The Household segment composes of charcoal, cat litter and plastic bags, wraps and container products marketed and sold in the United States. The Lifestyle segment includes food products, water-filtration systems and filters marketed and sold in the United States and all natural personal care products. The International segment covers products sold outside the United States, excluding natural personal care products. The company was founded by Edward Hughes, Charles Husband, William Hussey, Rufus Myers, and Archibald Taft on May 3, 1913 and is headquartered in Oakland, CA."
