id,catalog_number,add_descr
2888356,511G-43,(16P) One piece construction with living hinge and gasket. Features positive catches and combination handle/hanger. Also available  without gasket
2886872,016-95,20 bin plastic drawer cabinet. Overall Bin dimensions are 2-13/16 x 5-15/32 x 1-7/8
2886880,027-95,"30 Drawer Cabinet Systems-with 17"" Deep Extra large capacity drawers"
2886908,1016ML-50,"FM Approved, 16 Gallon, manual closing, Flammable Storage Cabinet with Legs "
2886924,1060M-50,FM Approved Manual Closing Safety Cabinet 
2886932,1090S-50,FM Approved Self Closing Safety Cabinet
2886884,031-95,24 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.
2886936,1106-95,"17""(432mm) Diameter Rotabin®"
2886892,056-95,Utility Cabinet AU3 with adjustable shelves
2886900,1004S-50,Flammable Safety Cabinet
2886920,1045ML-50,"FM Approved, 45 Gallon, manual closing, Flammable Storage Cabinet with Legs "
2886868,007-95,24 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.
2886896,060-95-WSS,Wall Mountable Cabinet with Slotted Shelf
2886980,2210A-PB-LU-95,nan
2886972,2200-95,nan
2886888,035-95,30 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.
2886960,1341-95,Adjustable Steel Divider
2887004,2500-138B-95,16 Gauge Cabinets with Hook-On Bins
2886988,2212A-TH-LU-95,nan
2886984,2211-DLP-6DR-RM-9B-95,nan
2887008,2501-BDLP-102-3S-5295,16 Gauge Cabinets with Hook-On Bins and Shelves
2887016,2501M-BLP-30-1795,Mobile Cabinet with Hook-On Bins 
2887012,2501-BDLP-126-95,16 Gauge Cabinets with Hook-On Bins
2887024,2502-186-5295,16 Gauge Cabinets with Hook-On Bins
2887020,2502-138-3S-1795,16 Gauge Cabinets with Hook-On Bins and Shelves
2887028,2502M-BLP-18-2S-5295,Mobile Cabinet with Hook-On Bins and Shelves
2887032,2502M-BLP-42-95,Mobile Cabinet with Hook-On Bins 
2887036,2505-4S-95,nan
2887040,2602-4S-95,nan
2887076,3100-BLP-18-95,nan
2887056,2SPT-3060-2-2K-95,"All welded, heavy duty 14 gauge steel stock truck with phenolic casters, (2) swivel and (2) rigid and 2 shelves, tubular handle allows easy mobility. Ships fully assembled and ready for use. "
2887084,315-95,"Large Rack base (15 1/2"" W X 15 1/8"" H X 12 1/8"" D; weight 12 lbs.) is available for all small slide racks (models 306-95, 307-95 and 308-95)."
2887092,329-95,nan
2887096,3401-95,nan
2887100,3405-95,Stationary Workstation with 5 Drawers
2887108,3500-95,14 Gauge Cabinet with
2887104,349-95,40 Opening BIn 
2887044,2603-4S-95,nan
2887112,3501524RDR-5295,"36"" Wide Cabinet with 52 Bins, 1 Shelf, 12 Door Shelves & 4 Drawers "
2887116,3501584RDR-95,"36"" Wide Cabinet with 58 Bins, 1 Shelf, 12 Door Shelves & 4 Drawers "
2887052,2SPT-2448-2-2K-95,"All welded, heavy duty 14 gauge steel stock truck with phenolic casters, (2) swivel and (2) rigid and 2 shelves, tubular handle allows easy mobility. Ships fully assembled and ready for use. "
2887136,3501M-BLP-12-2S-1795,Mobile Cabinet with Hook-On Bins and Shelves
2887148,3502-186-95,nan
2887140,3501M-BLP-30-5295,Mobile Cabinet with Hook-On Bins 
2887144,3502-138-3S-5295,nan
2887132,3501-DLP-PB-96-2S-1795,"36 Wide 5-S Storage Cabinet with Steel Pegboard, 96 Bins and 2 Adjustable Shelves"
2887120,3501-BDLP-102-3S-95,nan
2887152,3502M-BLP-18-2S-5295,Mobile Cabinet with Hook-On Bins and Shelves
2887156,3502M-BLP-42-95,Mobile Cabinet with Hook-On Bins 
2887168,3601-95,14 Gauge Cabinet with
2887177,3602-BLP-95,nan
2887160,351-95,nan
2887164,357-95,nan
2887181,3603-95,14 Gauge Cabinet with
2887193,367-95,Threaded Rod Rack
2887185,363-95,nan
2887189,364-95,"Base for 12""(305mm) Deep Parts Bins"
2887197,3701-3S-95,14 Gauge Cabinet with
2887172,3602-BLP-14-2S-95,nan
2887205,3702CX-BLP4S-95,Heavy Duty Access Control Cabinet with Electronic Lock and Audit Trail Software. 
2887209,3702CXC-BLP4S-95,Heavy Duty Access Control Cabinet with Electronic Lock and Audit Trail Software. 
2887201,3702-16-3S-1795,nan
2887217,3704CX-BLP4S-95,Heavy Duty Access Control Cabinet with Electronic Lock and Audit Trail Software. 
2887213,3703CXC-42B-5295,Access Control Cabinet with Audit Trail - Hook-On Bins Included
2887225,379-95,"Bin Topper - Fits Models: 329, 330, 351, 353, 354, 356, 357, 359, 360, 361, 363, 396, 397, 398, 399, 725, 730, 735, 740, 745."
2887221,3704CXC-BLP4S-95,Heavy Duty Access Control Cabinet with Electronic Lock and Audit Trail Software. 
2887233,3950-3S-95,* Features space-saving bi-folding doors 
2887245,3SLT-2436-2K-95,3 Sided Low Deck Stock Truck
2887229,384-95,2 Rod Rack
2887241,399-95,nan
2887249,3SLT-3048-2K-95,3 Sided Low Deck Stock Truck
2887257,3ST-EX3060-2AS-95,3 Sided Mesh Stock Truck
2887261,3ST-EX3660-2AS-95,3 Sided Mesh Stock Truck
2887277,401-55,23 Pocket 
2887265,3ST-EX3672-2AS-95,3 Sided Mesh Stock Truck
2887253,3ST-EX3048-2AS-95,3 Sided Mesh Stock Truck
2887269,400-10,20 Pocket 
2887128,3501-DLP-60DR11-96-2S-95,36 Wide Small Parts Storage & Security Cabinet with 60 Jumbo Drawers & 96 Hook-On Bins�
2887297,406-08,10 Pockets Literature Rack (large)
2887301,407-08-A,Optional Legs for models 405 and 411
2887285,402-95,11 Pocket 
2887281,402-10,11 Pocket 
2887289,403-55,5 Pocket 
2887313,411-75,20 Pockets Literature Rack (large)
2887329,459-75,Optional Laminated Wood Top Fits All Horizontal Literature Racks
2887341,4STE-SM-2448-95,4 Sided Solid Box Truck with Ergonomic Handle
2887345,5002-18-5295,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887353,5006-30-5295,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887349,5003-30-5295,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887365,5011-30-5295,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887325,432-08,12 Opening Horizontal Literature Rack
2887333,4SLT-2448-1.2K-95,4 Sided Low Deck Stock Truck
2887361,5010-30-5295,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887377,5018-42-1795,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887393,518-43-PD,Medicine Cabinet with Plexiglass Door
2887337,4STE-EX-2448-95,4 Sided Mesh Box Truck with Ergonomic Handle
2887373,5015-42-5295,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887401,534AV-50,Wall Mountable Spill Control Cabinet
2887405,562-H719,This 5-Pocket Plastic Door Pouch is used with the 8 Cabinet (Model 562-43.)
2887381,5019-54-1795,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887389,5023-72-1795,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887413,580-95,6 Spool Tubing Dispenser
2887385,5022-48-1795,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887437,905-08-S702,5 Loop Clamp Rack
2887425,610-95,Includes four drawers ideal for storing larger items. Features locking hinges to hold drawers in place in a moving vehicle. Padlock not provided.
2887357,5007-42-5295,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887421,5WT-3060-12MR-95,"All welded 14 gauge steel platform truck with 12"" mold-on rubber casters, (2) swivel and (2) rigid"
2887445,AF-3048-PBLP-BS-95,A-Frame Truck with Louvered Panels and Pegboard on Both Sides
2887449,APT-2448-95,14 Gauge Steel Construction; 6 removable handles. (in: 12 x 24 x 36) (mm: 305 x 610 x 914) above deck
2887453,ATT-4038-95,Double Sided Adjust-A-Tray Truck
2887465,DC36-48-4S6DS-95,nan
2887469,DC36-642S6DS-95,nan
2887369,5014-30-5295,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887473,DC48-114-6DS-95,nan
2887441,AF-3048-95,A-Frame Truck 
2887461,DC-243636-48-2S-5295,nan
2887493,DCBDLP524RDR-5295,"36"" Wide Cabinet with 52 Bins, 1 Shelf, 12 Door Shelves & 4 Drawers "
2887485,DC48-724S6DS-95,nan
2887509,DWB-3060-BE-95,Heavy Duty Workbench with Back and End Stops
2887513,DWB-3072-BE-95,Heavy Duty Workbench with Back and End Stops
2887521,DWBM-3060-BE-PB-95,Mobile Work Bench with Pegboard Panel Top 
2887517,DWB-3672-177-95,nan
2887489,DC-BDLP-132-1795,nan
2887529,EGCC12-50,Horizontal Cylinder Storage Cabinet - Holds 12 Cylinders
2887501,DCBDLP724RDR-1795,nan
2887525,DWBM-3660-BE-LP-95,Mobile Work Bench with Louvered Panel Top 
2887545,EMDC361845B5295,Clearview Cabinets with Hook-On Bins®
2887541,EMDC36182S15B1795,Clearview Cabinets with Hook-On Bins® and Shelves
2887533,EGCC8-9-50,Combination Cylinder Storage Cabinet - Holds 9 Vertical & 8 Horizontal
2887557,EMDC36242S15B1795,Clearview Cabinets with Hook-On Bins® and Shelves
2887505,DC-DLP-96-4S-5295,nan
2887497,DCBDLP584RDR-95,"36"" Wide Cabinet with 58 Bins, 1 Shelf, 12 Door Shelves & 4 Drawers "
2887549,EMDC-361872-18B-2S-1795,Clearview Cabinets with Hook-On Bins® and Shelves
2887561,EMDC-362472-18B-2S-1795,Clearview Cabinets with Hook-On Bins® and Shelves
2887553,EMDC-361872-30B-5295,Clearview Cabinets with Hook-On Bins®
2887565,EMDC-362472-30B-5295,Clearview Cabinets with Hook-On Bins®
2887569,EMDC-362484-95,nan
2887581,EMDC-482472-24B-2S-1795,Clearview Cabinets with Hook-On Bins® and Shelves
2887577,EMDC-481872-6B-3S-1795,Clearview Cabinets with Hook-On Bins® and Shelves
2887585,EMDC-482472-42B-5295,Clearview Cabinets with Hook-On Bins®
2887589,EMDC-482472-6B-3S-95,Clearview Cabinets with Hook-On Bins® and Shelves
2887593,EPT-3048-95,"All welded 12 gauge steel platform truck with 6"" x 2"" phenolic bolt-on casters, (2) swivel and (2) rigid"
2887573,EMDC-481872-24B-2S-95,Clearview Cabinets with Hook-On Bins® and Shelves
2887293,405-08,11 Pockets Literature Rack (large)
2887601,FDC-SH-4824-95,nan
2887609,FS-SH-2939,nan
2887649,HDC-203636-2S95,12 Gauge Counter Top Cabinet
2887653,HDC-243642-2S95,12 Gauge Counter Top Cabinet
2887633,HB-36-95,"4""H x 36""L = 102mm x 914mm"
2887605,FED-2023-95,Mobile Shop Desk Cart
2887673,HDC36-24DC24TB2S95,nan
2887661,HDC-247266-3S95,nan
2887681,HDC36-DC16TB4DR2S95,nan
2887665,HDC36-102-3S95,nan
2887669,HDC36-126-1795,12 Gauge Cabinet with 126 Hook-On-Bins
2887677,HDC36-96-4S1795,nan
2887657,HDC-244866-3S95,nan
2887685,HDC48-134-3S95,nan
2887697,HDC60-198-5295,12 Gauge Cabinet with 198 Hook-On-Bins
2887701,HDC72-192-3S5295,nan
2887709,HDCC243636-2S95,12 Gauge Countertop Clearview Shelf Cabinet
2887717,HDCD243678-3M95,nan
2887693,HDC60-156-3S1795,nan
2887713,HDCC244878-4S95,12 Gauge Clearview Shelf Cabinet
2887729,HDCM36-4S-95,Mobile Cabinet with 4 Shelves
2887721,HDCD246078-6B95,nan
2887737,HDCO243678-4S95,12 Gauge Cabinet with 4 Shelves. (for outdoor use) 
2887733,HDCM48-42-1795,Mobile Cabinet with Hook-On Bins
2887749,HDC-SH-2418-95,nan
2887725,HDCM36-12-2S95,Mobile Cabinet with Hook-On Bins and Shelves
2887741,HDCP244878-4S95,12 Gauge Extra Heavy Duty Shelf Cabinet with PegBoard Doors. 
2887753,HDC-SH-2442-95,nan
2887761,HDCV36-12B-2S5295,12 Gauge Cabinets
2887757,HDCV243678-4S95,12 Gauge ventilated cabinets 
2887765,HDCV36-30B-95,12 Gauge Cabinets
2887769,HDCV48-18B-3S1795,12 Gauge Cabinets
2887777,HDCV48-42B-95,12 Gauge Cabinets
2887773,HDCV48-24B-2S5295,12 Gauge Cabinets
2887789,HDDS246078-8S95,nan
2887793,HDJC243678-4S95,nan
2887781,HDCV60-54B-1795,12 Gauge Cabinets
2887785,HDDS243678-8S95,nan
2887797,HDJC244878-156-4S95,nan
2887813,HDWC244878-5S95,nan
2887801,HDS-2448-95,nan
2887837,HMT-2448-2-95,nan
2887833,HMT-1836-2-95,nan
2887829,HET-3648-2-95,nan
2887845,HSR-303085-95,nan
2887841,HMT-3060-2-95,nan
2887817,HET-2436-2-5K-95,nan
2887865,HWBMT-364834-95,Extra Heavy Duty Machine Tables - Top shelf Only
2887881,JC-482478-BDLP-95,nan
2887825,HET-3048-3-5K-95,nan
2887885,JCBDLP724RDR-1795,nan
2887873,JC-137-3S-5295,nan
2887869,HWBMT-367224-95,Extra Heavy Duty Machine Tables - Top shelf Only
2887889,LDO-1830-2-95,Low Deck Service Truck
2887893,LDO-2436-3-95,Low Deck Service Truck
2887909,LIC-3060-2-95,Low Profile Instrument Cart
2887913,LPRSS-17.25X68-95,Free Standing Louvered Panel Rack
2887921,LPW-34.5X64-95,Wall Mountable Louvered Panel (include 2 panels)
2887941,MT182442-2K195,Medium Duty Machine Tables - Top Shelf Only
2887933,MSB3-2036-95,3 Opening Mobile Storage Bin
2887905,LIC-2436-2-95,Low Profile Instrument Cart
2887949,MT243636-2K195,Medium Duty Machine Tables - Top Shelf Only
2887953,MT244830-2K195,Medium Duty Machine Tables - Top Shelf Only
2887945,MT243624-2K195,Medium Duty Machine Tables - Top Shelf Only
2887897,LDO-2448-3-95,Low Deck Service Truck
2887973,MTD244824-2K195,Medium Duty Machine Tables With Drawer and Top Shelf Only
2887981,MTDM182442-2K195,Mobile Medium Duty Machine Tables with Drawer & Top Shelf Only
2887965,MTD182436-2K195,Medium Duty Machine Tables With Drawer and Top Shelf Only
2887977,MTDM182418-2K195,Mobile Medium Duty Machine Tables with Drawer & Top Shelf Only
2887985,MTDM243636-2K195,Mobile Medium Duty Machine Tables with Drawer & Top Shelf Only
2887901,LDO-3048-3-95,Low Deck Service Truck
2887969,MTD243630-2K195,Medium Duty Machine Tables With Drawer and Top Shelf Only
2887993,MTM182424-2K195,Mobile Medium Duty Machine Tables - Top Shelf Only
2887997,MTM183630-2K295,Mobile Medium Duty Machine Tables - 2 Shelves
2888021,OPC-2436-3-95,"3 Shelf Order Picking Cart with writing surface & 1-1/2"" (38mm) lip to retain paper and pens "
2888025,OPC-3060-3-95,"3 Shelf Order Picking Cart with writing surface & 1-1/2"" (38mm) lip to retain paper and pens "
2887989,MTDM244830-2K195,Mobile Medium Duty Machine Tables with Drawer & Top Shelf Only
2888005,MTM243642-2K195,Mobile Medium Duty Machine Tables - Top Shelf Only
2888037,PAT-36-6-9-95,"Pan & Tray Truck with 6"" (153mm) spacing between trays"
2887961,MT367236-3K295,Heavy Duty Machine Tables - 2 Shelves
2887957,MT244842-2K195,Medium Duty Machine Tables - Top Shelf Only
2888033,OPT-7236-95,nan
2888013,MTM246030-2K295,Mobile Medium Duty Machine Tables - 2 Shelves
2888029,OPT-4830-95,nan
2888001,MTM243630-2K195,Mobile Medium Duty Machine Tables - Top Shelf Only
2888041,PSD-2430-3-D-95,3 Shelf Portable Shop Desk with Drawer
2888069,RIC-2436-2-95,2 Shelf Rolling Instrument Cart 
2888089,RSC-1836-BLP-112-220-95,Heavy Duty Bin Service Carts
2888073,RIC-3036-2-95,2 Shelf Rolling Instrument Cart 
2888085,RSC-1836-2-95,2 Shelf Stock Cart
2888093,RSC-2436-2-2DR-95,nan
2888097,RSC-2436-2-PB-2DR-95,nan
2888077,RSC12-1830-2-3.6K-95,2 Shelf Stock Carts with 12 Lips Up
2888117,RSC-3036-2-2DR-95,nan
2888081,RSC-1830-2-95,2 Shelf Stock Cart
2888109,RSC-2448-2-95,2 Shelf Stock Cart
2888105,RSC-2436-BLP-64-210-95,Heavy Duty Bin Service Carts
2888121,RSC-3048-2-95,2 Shelf Stock Cart
2888145,RSC6-2448-2-3.6K-95,2 Shelf Stock Carts with 6 Lips Up
2888149,RSCE-1830-2-95,Rolling Stock Cart with Ergonomic Handle
2888137,RSC3-2436-2-95,2 Shelf Stock Carts with 3 Lips Up
2888157,RSCE-2436-2-3.6K-ALD-95,Heavy Rolling Stock Cart with Ergonomic Handle-
2888141,RSC6-1830-2-95,2 Shelf Stock Carts with 3 Lips Up
2888173,RSCE-3060-2-3.6K-TLD-95,Heavy Rolling Stock Cart with Ergonomic Handle-
2888165,RSCE-2448-2-TLD-95,Rolling Stock Cart with Ergonomic Handle-
2888125,RSC-3060-2-3K-TLD-95,2 Shelf Stock Cart with Ergonomic Handle-
2888153,RSCE-1836-2-3.6K-TLD-95,Heavy Rolling Stock Cart with Ergonomic Handle-
2888129,RSC-3060-3-95,3 Shelf Stock Carts
2888189,SJC-BDLP-192-95,nan
2888181,RSCR-3048-ALD-95,2 Shelf Stock Cart with Raised Handle (All lips down)
2888185,RSIC-2436-2-8PN-95,2 Shelf Instrument Cart with Drawer and Electrical Strip (Pneumatic Caster)
2888169,RSCE-3048-2-95,Rolling Stock Cart with Ergonomic Handle
2888133,RSC3-1830-2-3.6K-95,2 Shelf Stock Carts with 3 Lips Up
2888177,RSCR-2436-ALD-95,2 Shelf Stock Cart with Raised Handle (All lips down)
2888161,RSCE-2448-2-3.6K-95,Heavy Duty Rolling Stock Cart with Ergonomic Handle
2888101,RSC-2436-4-3K-95,4 Shelf Stock Cart
2888197,SSC-185-3S-NL-5295,nan
2888201,SSC-227-95,nan
2888221,TRM-3630-95,"Perforated Tray for use in 30"" deep models"
2888225,VSC-242478-95,nan
2888213,SSC-722484-BDLP-264-1795,"72"" (mm: 1829) Super Wide Jumbo Cabinet with 264 Hook-On® Bins"
2888205,SSC-602484-3S-95,nan
2888241,WBF-TH-3660-95,nan
2888233,WBF-3696-95,nan
2888249,WB-SHELF-96-95,"96"" long"
2888237,WBF-TH-3060-95,nan
2888245,WBF-TH-4896-95,nan
2888229,WBF-3096-95,nan
2888293,522-43,"(70 kit) With handle, wall mounting hangers, and one fixed shelf."
2888297,PB30162-08,Divider (Horizontal)
2888193,SSC-185-3S-1795,nan
2888321,550-43,Glove Dispenser
2888317,505-43,(16 Unit) One partition.
2888345,512G-43,(24P) One-piece construction with living hinge molded-in partition and gasket. Features positive catches and combination handle/hanger. Also available without gasket (Model 512-43); without partition (Model 512G-43-N/P)
2888361,497-43,(Multi Purpose Kit Box) Features easy to open positive catch and living hinge. 
2888349,PB30210-21,Dividers: order PB30161
2886865,004-95,9 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.
2886881,028-95,"60 Drawer Cabinet Systems-with 17"" Deep Extra large capacity drawers"
2886877,024-95,"30 Drawer Cabinet Systems-with 11-1/4"" Deep Extra large capacity drawers"
2886885,032-95,18 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.
2886889,052-43,(Spill Control/Respirator Cabinet) Two adjustable shelves. Full length plexiglass window and key holes for wall mounting.
2886873,017-95,48 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.
2886897,061-95-ADJFS,Wall Mountable Cabinet with adjustable Shelves 
2886933,1090SL-50,"FM Approved, 90 Gallon, Self closing doors, Flammable Storage Cabinet with Legs "
2886937,1108-95,"17""(432mm)  Diameter Rotabin®"
2886941,1141-95,"Optional Adjustable Steel Divider (for 17"" Rotabin®)"
2886917,1030S-50,FM Approved Self Closing Safety Cabinet 
