id,catalog_number,key1,key2,description
2931148,4862.042.002.000000,RC207,RC,Ringspann 4862.042.002.000000 RC207 BACKSTOP
2931147,4862.032.002.000000,RC206,RC,Ringspann 4862.032.002.000000 RC206 BACKSTOP
2931146,4862.031.002.000000,RCD5,RCD,Ringspann 4862.031.002.000000 RCD5 BACKSTOP
2931145,4862.023.002.000000,RC205,RC,Ringspann 4862.023.002.000000 RC205 BACKSTOP
2931144,4862.022.001.000000,RCD4,RCD,Ringspann 4862.022.001.000000 RCD4 BACKSTOP
2931143,4862.018.001.000000,RCD3,RCD,Ringspann 4862.018.001.000000 RCD3 BACKSTOP
2931142,4861.107.102.080h31,FSN80R,FSN,Ringspann 4861.107.102.080h31 FSN80R CAM CLUTCH
2931141,4861.107.101.070h27,FSN70R,FSN,Ringspann 4861.107.101.070h27 FSN70R CAM CLUTCH
2931140,4861.082.101.060h23,FSN60R,FSN,Ringspann 4861.082.101.060h23 FSN60R CAM CLUTCH
2931139,4861.072.101.050h21,FSN50R,FSN,Ringspann 4861.072.101.050h21 FSN50R CAM CLUTCH
2931138,4861.061.103.045h21,FSN45R,FSN,Ringspann 4861.061.103.045h21 FSN45R CAM CLUTCH
2931137,4861.061.102.040h22,FSN40R,FSN,Ringspann 4861.061.102.040h22 FSN40R CAM CLUTCH
2931136,4861.049.102.035h24,FSN35R,FSN,Ringspann 4861.049.102.035h24 FSN35R CAM CLUTCH
2931135,4861.044.101.030h20,FSN30R,FSN,Ringspann 4861.044.101.030h20 FSN30R CAM CLUTCH
2931134,4861.037.112.025h20,FSN25R,FSN,Ringspann 4861.037.112.025h20 FSN25R CAM CLUTCH
2931133,4861.034.101.020h16,FSN20R,FSN,Ringspann 4861.034.101.020h16 FSN20R CAM CLUTCH
2931132,4861.029.103.017h12,FSN17R,FSN,Ringspann 4861.029.103.017h12 FSN17R CAM CLUTCH
2931131,4861.029.101.015h12,FSN15R,FSN,Ringspann 4861.029.101.015h12 FSN15R CAM CLUTCH
2931130,4861.019.102.012h18,FSN12R,FSN,Ringspann 4861.019.102.012h18 FSN12R CAM CLUTCH
2931129,4821.170.203.M00765,FRXG800*4,FRXG,Ringspann 4821.170.203.M00765 FRXG800*4 CAM CLUTCH
2931128,4821.170.203.M00763,FRXG800*3+34,FRXG,Ringspann 4821.170.203.M00763 FRXG800*3+34 CAM CLUTCH
2931127,4821.170.203.M00762,FRXG800*3+12,FRXG,Ringspann 4821.170.203.M00762 FRXG800*3+12 CAM CLUTCH
2931126,4821.170.110.M00799,FRSG900*5,FRSG,Ringspann 4821.170.110.M00799 FRSG900*5 CAM CLUTCH
2931125,4821.170.110.M00796,FRSG900*4+12,FRSG,Ringspann 4821.170.110.M00796 FRSG900*4+12 CAM CLUTCH
2931124,4821.170.110.M00763,FRSG900*3+34,FRSG,Ringspann 4821.170.110.M00763 FRSG900*3+34 CAM CLUTCH
2931123,4821.170.107.M01026,FRS900*5+716,FRS,Ringspann 4821.170.107.M01026 FRS900*5+716 CAM CLUTCH
2931122,4821.170.107.M00940,FRS900*3+58,FRS,Ringspann 4821.170.107.M00940 FRS900*3+58 CAM CLUTCH
2931121,4821.170.107.M00799,FRS900*5,FRS,Ringspann 4821.170.107.M00799 FRS900*5 CAM CLUTCH
2931120,4821.170.107.M00797,FRS900*4+34,FRS,Ringspann 4821.170.107.M00797 FRS900*4+34 CAM CLUTCH
2931119,4821.170.107.M00765,FRS900*4,FRS,Ringspann 4821.170.107.M00765 FRS900*4 CAM CLUTCH
2931118,4821.170.105.M00768,FRSG800*4+716,FRSG,Ringspann 4821.170.105.M00768 FRSG800*4+716 CAM CLUTCH
2931117,4821.170.105.M00767,FRSG800*4+14,FRSG,Ringspann 4821.170.105.M00767 FRSG800*4+14 CAM CLUTCH
2931116,4821.170.105.M00765,FRSG800*4,FRSG,Ringspann 4821.170.105.M00765 FRSG800*4 CAM CLUTCH
2931115,4821.170.105.M00763,FRSG800*3+34,FRSG,Ringspann 4821.170.105.M00763 FRSG800*3+34 CAM CLUTCH
2931114,4821.170.105.M00762,FRSG800*3+12,FRSG,Ringspann 4821.170.105.M00762 FRSG800*3+12 CAM CLUTCH
2931113,4821.170.105.M00761,FRSG800*3+716,FRSG,Ringspann 4821.170.105.M00761 FRSG800*3+716 CAM CLUTCH
2931112,4821.170.105.M00756,FRSG800*3+18,FRSG,Ringspann 4821.170.105.M00756 FRSG800*3+18 CAM CLUTCH
2931111,4821.170.105.090h54,FRSG800*90MM,FRSG,Ringspann 4821.170.105.090h54 FRSG800*90MM CAM CLUTCH
2931110,4821.170.105.075h49,FRSG800*75MM,FRSG,Ringspann 4821.170.105.075h49 FRSG800*75MM CAM CLUTCH
2931109,4821.170.102.M00783,FRX800*3+14,FRX,Ringspann 4821.170.102.M00783 FRX800*3+14 CAM CLUTCH
2931108,4821.170.102.M00769,FRX800*4+12,FRX,Ringspann 4821.170.102.M00769 FRX800*4+12 CAM CLUTCH
2931107,4821.170.102.M00763,FRX800*3+34,FRX,Ringspann 4821.170.102.M00763 FRX800*3+34 CAM CLUTCH
2931106,4821.170.102.M00762,FRX800*3+12,FRX,Ringspann 4821.170.102.M00762 FRX800*3+12 CAM CLUTCH
2931105,4821.170.101.M01083,FRS800*3+78,FRS,Ringspann 4821.170.101.M01083 FRS800*3+78 CAM CLUTCH
2931104,4821.170.101.M00768,FRS800*4+716,FRS,Ringspann 4821.170.101.M00768 FRS800*4+716 CAM CLUTCH
2931103,4821.170.101.M00767,FRS800*4+14,FRS,Ringspann 4821.170.101.M00767 FRS800*4+14 CAM CLUTCH
2931102,4821.170.101.M00765,FRS800*4,FRS,Ringspann 4821.170.101.M00765 FRS800*4 CAM CLUTCH
2931101,4821.170.101.M00764,FRS800*3+1516,FRS,Ringspann 4821.170.101.M00764 FRS800*3+1516 CAM CLUTCH
2931100,4821.170.101.M00763,FRS800*3+34,FRS,Ringspann 4821.170.101.M00763 FRS800*3+34 CAM CLUTCH
2931099,4821.170.101.M00762,FRS800*3+12,FRS,Ringspann 4821.170.101.M00762 FRS800*3+12 CAM CLUTCH
2931098,4821.170.101.M00761,FRS800*3+716,FRS,Ringspann 4821.170.101.M00761 FRS800*3+716 CAM CLUTCH
2931097,4821.170.101.M00758,FRS800*3+14,FRS,Ringspann 4821.170.101.M00758 FRS800*3+14 CAM CLUTCH
2931096,4821.170.101.M00755,FRS800*3,FRS,Ringspann 4821.170.101.M00755 FRS800*3 CAM CLUTCH
2931095,4821.170.101.M00746,FRS800*2+12,FRS,Ringspann 4821.170.101.M00746 FRS800*2+12 CAM CLUTCH
2931094,4821.170.101.110h64,FRS800*110MM,FRS,Ringspann 4821.170.101.110h64 FRS800*110MM CAM CLUTCH
2931093,4821.170.101.090f54,FRS800*90MM,FRS,Ringspann 4821.170.101.090f54 FRS800*90MM CAM CLUTCH
2931092,4821.140.116.M01156,FRXG,FRXG,Ringspann 4821.140.116.M01156 FRXG 775*3+34 W/ #60 TA KIT BACKSTOP AND TORQUE ARM
2931091,4821.140.116.M01152,FRXG,FRXG,Ringspann 4821.140.116.M01152 FRXG 775*3+12 W/ #60 TA KIT BACKSTOP AND TORQUE ARM
2931090,4821.140.116.M00758,FRXG,FRXG,Ringspann 4821.140.116.M00758 FRXG 775*3+14 W/ #60 TA KIT BACKSTOP AND TORQUE ARM
2931089,4821.140.116.M00755,FRXG,FRXG,Ringspann 4821.140.116.M00755 FRXG 775*3 W/ #60 TA KIT BACKSTOP AND TORQUE ARM
2931088,4821.140.116.M00748,FRXG,FRXG,Ringspann 4821.140.116.M00748 FRXG 775*2+34 W/ #60 TA KIT BACKSTOP AND TORQUE ARM
2931087,4821.140.116.M00746,FRXG,FRXG,Ringspann 4821.140.116.M00746 FRXG 775*2+12 W/ #60 TA KIT BACKSTOP AND TORQUE ARM
2931086,4821.140.116.M00739,FRXG,FRXG,Ringspann 4821.140.116.M00739 FRXG 775*2+14 W/ #60 TA KIT BACKSTOP AND TORQUE ARM
2931085,4821.140.116.095f54,FRXG,FRXG,Ringspann 4821.140.116.095f54 FRXG 775*95mm W/ #60 TA KIT BACKSTOP AND TORQUE ARM
2931084,4821.140.116.085h54,FRXG,FRXG,Ringspann 4821.140.116.085h54 FRXG 775*85mm W/ #60 TA KIT BACKSTOP AND TORQUE ARM
2931083,4821.140.116.075h49,FRXG,FRXG,Ringspann 4821.140.116.075h49 FRXG 775*75mm W/ #60 TA KIT BACKSTOP AND TORQUE ARM
2931082,4821.140.116.070h49,FRXG,FRXG,Ringspann 4821.140.116.070h49 FRXG 775*70mm W/ #60 TA KIT BACKSTOP AND TORQUE ARM
2931081,4821.140.116.065h44,FRXG,FRXG,Ringspann 4821.140.116.065h44 FRXG 775*65mm W/ #60 TA KIT BACKSTOP AND TORQUE ARM
2931080,4821.140.116.063h44,FRXG,FRXG,Ringspann 4821.140.116.063h44 FRXG 775*63mm W/ #60 TA KIT BACKSTOP AND TORQUE ARM
2931079,4821.140.116.060h44,FRXG,FRXG,Ringspann 4821.140.116.060h44 FRXG 775*60mm W/ #60 TA KIT BACKSTOP AND TORQUE ARM
2931078,4821.140.116.055h43,FRXG,FRXG,Ringspann 4821.140.116.055h43 FRXG 775*55mm W/ #60 TA KIT BACKSTOP AND TORQUE ARM
2931077,4821.140.114.M01156,FRXG775*3+34,FRXG,Ringspann 4821.140.114.M01156 FRXG775*3+34 CAM CLUTCH
2931076,4821.140.114.M01152,FRXG775*3+12,FRXG,Ringspann 4821.140.114.M01152 FRXG775*3+12 CAM CLUTCH
2931075,4821.140.114.M01151,FRXG775*2+1516,FRXG,Ringspann 4821.140.114.M01151 FRXG775*2+1516 CAM CLUTCH
2931074,4821.140.114.M00758,FRXG775*3+14,FRXG,Ringspann 4821.140.114.M00758 FRXG775*3+14 CAM CLUTCH
2931073,4821.140.114.M00755,FRXG775*3,FRXG,Ringspann 4821.140.114.M00755 FRXG775*3 CAM CLUTCH
2931072,4821.140.114.M00748,FRXG775*2+34,FRXG,Ringspann 4821.140.114.M00748 FRXG775*2+34 CAM CLUTCH
2931071,4821.140.114.M00746,FRXG775*2+12,FRXG,Ringspann 4821.140.114.M00746 FRXG775*2+12 CAM CLUTCH
2931070,4821.140.114.M00739,FRXG775*2+14,FRXG,Ringspann 4821.140.114.M00739 FRXG775*2+14 CAM CLUTCH
2931069,4821.140.114.085h54,FRXG775*85MM,FRXG,Ringspann 4821.140.114.085h54 FRXG775*85MM CAM CLUTCH
2931068,4821.140.114.075h49,FRXG775*75MM,FRXG,Ringspann 4821.140.114.075h49 FRXG775*75MM CAM CLUTCH
2931067,4821.140.113.M01078,FRX775*3+12,FRX,Ringspann 4821.140.113.M01078 FRX775*3+12 CAM CLUTCH
2931066,4821.140.112.M01078,FRSG775*3+12,FRSG,Ringspann 4821.140.112.M01078 FRSG775*3+12 CAM CLUTCH
2931065,4821.137.195.M00720,FRSG300*34,FRSG,Ringspann 4821.137.195.M00720 FRSG300*34 CAM CLUTCH
2931064,4821.137.195.M00719,FRSG300*58,FRSG,Ringspann 4821.137.195.M00719 FRSG300*58 CAM CLUTCH
2931063,4821.137.195.M00718,FRSG300*12,FRSG,Ringspann 4821.137.195.M00718 FRSG300*12 CAM CLUTCH
2931062,4821.137.195.019h16,FRSG300*19MM,FRSG,Ringspann 4821.137.195.019h16 FRSG300*19MM CAM CLUTCH
2931061,4821.127.128.M00747,FRZ750*2+34,FRZ,Ringspann 4821.127.128.M00747 FRZ750*2+34 CAM CLUTCH
2931060,4821.127.124.M00994,FRZ700*2+18,FRZ,Ringspann 4821.127.124.M00994 FRZ700*2+18 CAM CLUTCH
2931059,4821.127.124.M00747,FRZ700*2+34,FRZ,Ringspann 4821.127.124.M00747 FRZ700*2+34 CAM CLUTCH
2931058,4821.127.121.M00760,FRSG750*3+716,FRSG,Ringspann 4821.127.121.M00760 FRSG750*3+716 CAM CLUTCH
2931057,4821.127.121.M00759,FRSG750*3+38,FRSG,Ringspann 4821.127.121.M00759 FRSG750*3+38 CAM CLUTCH
2931056,4821.127.121.M00757,FRSG750*3+14,FRSG,Ringspann 4821.127.121.M00757 FRSG750*3+14 CAM CLUTCH
2931055,4821.127.121.M00754,FRSG750*3,FRSG,Ringspann 4821.127.121.M00754 FRSG750*3 CAM CLUTCH
2931054,4821.127.121.M00750,FRSG750*2+78,FRSG,Ringspann 4821.127.121.M00750 FRSG750*2+78 CAM CLUTCH
2931053,4821.127.121.M00748,FRSG750*2+34,FRSG,Ringspann 4821.127.121.M00748 FRSG750*2+34 CAM CLUTCH
2931052,4821.127.121.M00746,FRSG750*2+12,FRSG,Ringspann 4821.127.121.M00746 FRSG750*2+12 CAM CLUTCH
2931051,4821.127.120.M00752,FRSG700*2+1516,FRSG,Ringspann 4821.127.120.M00752 FRSG700*2+1516 CAM CLUTCH
2931050,4821.127.120.M00747,FRSG700*2+34,FRSG,Ringspann 4821.127.120.M00747 FRSG700*2+34 CAM CLUTCH
2931049,4821.127.120.M00746,FRSG700*2+12,FRSG,Ringspann 4821.127.120.M00746 FRSG700*2+12 CAM CLUTCH
2931048,4821.127.120.M00744,FRSG700*2+716,FRSG,Ringspann 4821.127.120.M00744 FRSG700*2+716 CAM CLUTCH
2931047,4821.127.120.M00739,FRSG700*2+14,FRSG,Ringspann 4821.127.120.M00739 FRSG700*2+14 CAM CLUTCH
2931046,4821.127.120.M00738,FRSG700*2+316,FRSG,Ringspann 4821.127.120.M00738 FRSG700*2+316 CAM CLUTCH
2931045,4821.127.120.M00737,FRSG700*2,FRSG,Ringspann 4821.127.120.M00737 FRSG700*2 CAM CLUTCH
2931044,4821.127.120.070h49,FRSG700*70MM,FRSG,Ringspann 4821.127.120.070h49 FRSG700*70MM CAM CLUTCH
2931043,4821.127.120.065h44,FRSG700*65MM,FRSG,Ringspann 4821.127.120.065h44 FRSG700*65MM CAM CLUTCH
2931042,4821.127.120.060h44,FRSG700*60MM,FRSG,Ringspann 4821.127.120.060h44 FRSG700*60MM CAM CLUTCH
2931041,4821.127.120.055h43,FRSG700*55MM,FRSG,Ringspann 4821.127.120.055h43 FRSG700*55MM CAM CLUTCH
2931040,4821.127.120.050h38,FRSG700*50MM,FRSG,Ringspann 4821.127.120.050h38 FRSG700*50MM CAM CLUTCH
2931039,4821.127.119.M01064,FRS750*2+58,FRS,Ringspann 4821.127.119.M01064 FRS750*2+58 CAM CLUTCH
2931038,4821.127.119.M00961,FRS750*2+1516,FRS,Ringspann 4821.127.119.M00961 FRS750*2+1516 CAM CLUTCH
2931037,4821.127.119.M00760,FRS750*3+716,FRS,Ringspann 4821.127.119.M00760 FRS750*3+716 CAM CLUTCH
2931036,4821.127.119.M00759,FRS750*2+38,FRS,Ringspann 4821.127.119.M00759 FRS750*2+38 CAM CLUTCH
2931035,4821.127.119.M00757,FRS750*3+14,FRS,Ringspann 4821.127.119.M00757 FRS750*3+14 CAM CLUTCH
2931034,4821.127.119.M00755,FRS750*3,FRS,Ringspann 4821.127.119.M00755 FRS750*3 CAM CLUTCH
2931033,4821.127.119.M00750,FRS750*2+78,FRS,Ringspann 4821.127.119.M00750 FRS750*2+78 CAM CLUTCH
2931032,4821.127.119.M00748,FRS750*2+34,FRS,Ringspann 4821.127.119.M00748 FRS750*2+34 CAM CLUTCH
2931031,4821.127.119.M00746,FRS750*2+12,FRS,Ringspann 4821.127.119.M00746 FRS750*2+12 CAM CLUTCH
2931030,4821.127.119.M00742,FRS750*3+38,FRS,Ringspann 4821.127.119.M00742 FRS750*3+38 CAM CLUTCH
2931029,4821.127.119.085h54,FRS750*85MM,FRS,Ringspann 4821.127.119.085h54 FRS750*85MM CAM CLUTCH
2931028,4821.127.119.080h54,FRS750*80MM,FRS,Ringspann 4821.127.119.080h54 FRS750*80MM CAM CLUTCH
2931027,4821.127.119.075h49,FRS750*75MM,FRS,Ringspann 4821.127.119.075h49 FRS750*75MM CAM CLUTCH
2931026,4821.127.119.065h44,FRS750*65MM,FRS,Ringspann 4821.127.119.065h44 FRS750*65MM CAM CLUTCH
2931025,4821.127.118.M00994,FRS700*2+18,FRS,Ringspann 4821.127.118.M00994 FRS700*2+18 CAM CLUTCH
2931024,4821.127.118.M00752,FRS700*2+1516,FRS,Ringspann 4821.127.118.M00752 FRS700*2+1516 CAM CLUTCH
2931023,4821.127.118.M00747,FRS700*2+34,FRS,Ringspann 4821.127.118.M00747 FRS700*2+34 CAM CLUTCH
2931022,4821.127.118.M00746,FRS700*2+12,FRS,Ringspann 4821.127.118.M00746 FRS700*2+12 CAM CLUTCH
2931021,4821.127.118.M00744,FRS700*2+716,FRS,Ringspann 4821.127.118.M00744 FRS700*2+716 CAM CLUTCH
2931020,4821.127.118.M00742,FRS700*2+38,FRS,Ringspann 4821.127.118.M00742 FRS700*2+38 CAM CLUTCH
2931019,4821.127.118.M00739,FRS700*2+14,FRS,Ringspann 4821.127.118.M00739 FRS700*2+14 CAM CLUTCH
2931018,4821.127.118.M00738,FRS700*2+316,FRS,Ringspann 4821.127.118.M00738 FRS700*2+316 CAM CLUTCH
2931017,4821.127.118.M00737,FRS700*2,FRS,Ringspann 4821.127.118.M00737 FRS700*2 CAM CLUTCH
2931016,4821.127.118.075h27,FRS700*75MM,FRS,Ringspann 4821.127.118.075h27 FRS700*75MM CAM CLUTCH
2931015,4821.127.118.070h49,FRS700*70MM,FRS,Ringspann 4821.127.118.070h49 FRS700*70MM CAM CLUTCH
2931014,4821.127.118.065h44,FRS700*65MM,FRS,Ringspann 4821.127.118.065h44 FRS700*65MM CAM CLUTCH
2931013,4821.127.118.060h44,FRS700*60MM,FRS,Ringspann 4821.127.118.060h44 FRS700*60MM CAM CLUTCH
2931012,4821.127.118.055h43,FRS700*55MM,FRS,Ringspann 4821.127.118.055h43 FRS700*55MM CAM CLUTCH
2931011,4821.127.118.050h38,FRS700*50MM,FRS,Ringspann 4821.127.118.050h38 FRS700*50MM CAM CLUTCH
2931010,4821.120.101.M00757,FRX750*3+14,FRX,Ringspann 4821.120.101.M00757 FRX750*3+14 CAM CLUTCH
2931009,4821.120.101.M00756,FRX750*3+18,FRX,Ringspann 4821.120.101.M00756 FRX750*3+18 CAM CLUTCH
2931008,4821.120.101.M00754,FRX750*3,FRX,Ringspann 4821.120.101.M00754 FRX750*3 CAM CLUTCH
2931007,4821.107.120.M00994,FRSG650*2+18,FRSG,Ringspann 4821.107.120.M00994 FRSG650*2+18 CAM CLUTCH
2931006,4821.107.120.M00745,FRSG650*2+12,FRSG,Ringspann 4821.107.120.M00745 FRSG650*2+12 CAM CLUTCH
2931005,4821.107.120.M00743,FRSG650*2+716,FRSG,Ringspann 4821.107.120.M00743 FRSG650*2+716 CAM CLUTCH
2931004,4821.107.120.M00741,FRSG650*2+38,FRSG,Ringspann 4821.107.120.M00741 FRSG650*2+38 CAM CLUTCH
2931003,4821.107.120.M00739,FRSG650*2+14,FRSG,Ringspann 4821.107.120.M00739 FRSG650*2+14 CAM CLUTCH
2931002,4821.107.120.M00737,FRSG650*2,FRSG,Ringspann 4821.107.120.M00737 FRSG650*2 CAM CLUTCH
2931001,4821.107.120.M00735,FRSG650*1+1516,FRSG,Ringspann 4821.107.120.M00735 FRSG650*1+1516 CAM CLUTCH
2931000,4821.107.120.060h44,FRSG650*60MM,FRSG,Ringspann 4821.107.120.060h44 FRSG650*60MM CAM CLUTCH
2930999,4821.107.120.058g43,FRSG650*58MM,FRSG,Ringspann 4821.107.120.058g43 FRSG650*58MM CAM CLUTCH
2930998,4821.107.120.055h43,FRSG650*55MM,FRSG,Ringspann 4821.107.120.055h43 FRSG650*55MM CAM CLUTCH
2930997,4821.107.120.052g43,FRSG650*52MM,FRSG,Ringspann 4821.107.120.052g43 FRSG650*52MM CAM CLUTCH
2930996,4821.107.120.045f38,FRSG650*45MM,FRSG,Ringspann 4821.107.120.045f38 FRSG650*45MM CAM CLUTCH
2930995,4821.107.113.M00739,FRZ650*2+14,FRZ,Ringspann 4821.107.113.M00739 FRZ650*2+14 CAM CLUTCH
2930994,4821.107.112.M00745,FRS650*2+12,FRS,Ringspann 4821.107.112.M00745 FRS650*2+12 CAM CLUTCH
2930993,4821.107.112.M00743,FRS650*1+716,FRS,Ringspann 4821.107.112.M00743 FRS650*1+716 CAM CLUTCH
2930992,4821.107.112.M00741,FRS650*2+38,FRS,Ringspann 4821.107.112.M00741 FRS650*2+38 CAM CLUTCH
2930991,4821.107.112.M00739,FRS650*2+14,FRS,Ringspann 4821.107.112.M00739 FRS650*2+14 CAM CLUTCH
2930990,4821.107.112.M00737,FRS650*2,FRS,Ringspann 4821.107.112.M00737 FRS650*2 CAM CLUTCH
2930989,4821.107.112.063h23,FRS650*63MM,FRS,Ringspann 4821.107.112.063h23 FRS650*63MM CAM CLUTCH
2930988,4821.107.112.060h44,FRS650*60MM,FRS,Ringspann 4821.107.112.060h44 FRS650*60MM CAM CLUTCH
2930987,4821.105.106.M01014,FRXG,FRXG,Ringspann 4821.105.106.M01014 FRXG 700*1+78 W/ #20 TA KIT BACKSTOP AND TORQUE ARM
2930986,4821.105.106.M00994,FRXG,FRXG,Ringspann 4821.105.106.M00994 FRXG 700*2+18 W/ #20 TA KIT BACKSTOP AND TORQUE ARM
2930985,4821.105.106.M00737,FRXG,FRXG,Ringspann 4821.105.106.M00737 FRXG 700*2 W/ #20 TA KIT BACKSTOP AND TORQUE ARM
2930984,4821.105.106.M00430,FRXG,FRXG,Ringspann 4821.105.106.M00430 FRXG 700*1+34 W/ #20 TA KIT BACKSTOP AND TORQUE ARM
2930983,4821.105.106.055h43,FRXG,FRXG,Ringspann 4821.105.106.055h43 FRXG 700*55mm W/ #20 TA KIT BACKSTOP AND TORQUE ARM
2930982,4821.105.106.050h38,FRXG,FRXG,Ringspann 4821.105.106.050h38 FRXG 700*50mm W/ #20 TA KIT BACKSTOP AND TORQUE ARM
2930981,4821.105.106.048h38,FRXG,FRXG,Ringspann 4821.105.106.048h38 FRXG 700*48mm W/ #20 TA KIT BACKSTOP AND TORQUE ARM
2930980,4821.105.106.045h38,FRXG,FRXG,Ringspann 4821.105.106.045h38 FRXG 700*45mm W/ #20 TA KIT BACKSTOP AND TORQUE ARM
2930979,4821.105.106.042h33,FRXG,FRXG,Ringspann 4821.105.106.042h33 FRXG 700*42mm W/ #20 TA KIT BACKSTOP AND TORQUE ARM
2930978,4821.105.105.M01014,FRXG700*1+78,FRXG,Ringspann 4821.105.105.M01014 FRXG700*1+78 CAM CLUTCH
2930977,4821.105.105.M00994,FRXG700*2+18,FRXG,Ringspann 4821.105.105.M00994 FRXG700*2+18 CAM CLUTCH
2930976,4821.105.105.M00752,FRXG700*2+1516,FRXG,Ringspann 4821.105.105.M00752 FRXG700*2+1516 CAM CLUTCH
2930975,4821.105.105.M00747,FRXG700*2+34,FRXG,Ringspann 4821.105.105.M00747 FRXG700*2+34 CAM CLUTCH
2930974,4821.105.105.M00746,FRXG700*2+12,FRXG,Ringspann 4821.105.105.M00746 FRXG700*2+12 CAM CLUTCH
2930973,4821.105.105.M00739,FRXG700*2+14,FRXG,Ringspann 4821.105.105.M00739 FRXG700*2+14 CAM CLUTCH
2930972,4821.105.105.M00433,FRXG700*1+34,FRXG,Ringspann 4821.105.105.M00433 FRXG700*1+34 CAM CLUTCH
2930971,4821.105.105.045h38,FRXG700*45MM,FRXG,Ringspann 4821.105.105.045h38 FRXG700*45MM CAM CLUTCH
2930970,4821.105.104.M00752,FRX700*2+1516,FRX,Ringspann 4821.105.104.M00752 FRX700*2+1516 CAM CLUTCH
2930969,4821.105.104.M00750,FRX700*2+78,FRX,Ringspann 4821.105.104.M00750 FRX700*2+78 CAM CLUTCH
2930968,4821.105.104.M00747,FRX700*2+34,FRX,Ringspann 4821.105.104.M00747 FRX700*2+34 CAM CLUTCH
2930967,4821.105.104.M00746,FRX700*2+12,FRX,Ringspann 4821.105.104.M00746 FRX700*2+12 CAM CLUTCH
2930966,4821.105.104.M00744,FRX700*2+716,FRX,Ringspann 4821.105.104.M00744 FRX700*2+716 CAM CLUTCH
2930965,4821.105.104.M00739,FRX700*2+14,FRX,Ringspann 4821.105.104.M00739 FRX700*2+14 CAM CLUTCH
2930964,4821.105.104.075h27,FRX700*75MM,FRX,Ringspann 4821.105.104.075h27 FRX700*75MM CAM CLUTCH
2930963,4821.105.104.070h49,FRX700*70MM,FRX,Ringspann 4821.105.104.070h49 FRX700*70MM CAM CLUTCH
2930962,4821.105.104.065h44,FRX700*65MM,FRX,Ringspann 4821.105.104.065h44 FRX700*65MM CAM CLUTCH
2930961,4821.105.104.060h44,FRX700*60MM,FRX,Ringspann 4821.105.104.060h44 FRX700*60MM CAM CLUTCH
2930960,4821.101.104.M00994,FRX650*2+18,FRX,Ringspann 4821.101.104.M00994 FRX650*2+18 CAM CLUTCH
2930959,4821.101.104.M00745,FRX650*2+12,FRX,Ringspann 4821.101.104.M00745 FRX650*2+12 CAM CLUTCH
2930958,4821.101.104.M00744,FRX650*2+716,FRX,Ringspann 4821.101.104.M00744 FRX650*2+716 CAM CLUTCH
2930957,4821.101.104.M00743,FRX650*1+716,FRX,Ringspann 4821.101.104.M00743 FRX650*1+716 CAM CLUTCH
2930956,4821.101.104.M00739,FRX650*2+14,FRX,Ringspann 4821.101.104.M00739 FRX650*2+14 CAM CLUTCH
